CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
80308,ECON,211,2,,Principles of Microeconomics,4,2:15 PM - 3:25 PM,M W F,"Cook, Jeremy A.",MSC 124,,SI
80309,ECON,212,1,B,Principles of Macroeconomics,2,8:00 AM - 9:10 AM,M W F,STAFF,MSC 124,,
80310,ECON,212,2,B,Principles of Macroeconomics,2,2:15 PM - 3:25 PM,M W F,"Guo, Nick L.",MSC 105,,
80314,ECON,366,0,,International Economics,4,2:15 PM - 3:25 PM,M W F,"Hill, Enoch S.",MSC 122,,
80315,ECON,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80319,ENGR,101,0,,Intro to Engineering,1,1:15 PM - 2:20 PM,T,"Hsu, David D.",MEY 355,,
80321,ENGR,201,0,,ENGR Mechanics 1 - Statics,4,9:20 AM - 10:30 AM,M W F,"Hsu, David D.",MEY 014B,,
80322,PHYS,221,0,,General Physics I,4,11:35 AM - 12:45 PM,M W F,"Whitney, Heather M.",MEY 335,,SP
80323,PHYS,221L,1,,General Physics Lab I,0,7:30 AM - 10:20 AM,T,"Whitney, Joshua F.",MEY 335,,
80324,PHYS,221L,2,,General Physics Lab I,0,1:15 PM - 4:05 PM,T,"Whitney, Joshua F.",MEY 335,,
80325,PHYS,231,1,,Introductory Physics I,4,8:00 AM - 9:10 AM,M W F,"Craig, Darren J.",MEY 335,,SP
80326,PHYS,231,2,,Introductory Physics I,4,9:20 AM - 10:30 AM,M W F,"Schroeder, James W.",MEY 371,,SP
