Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
HIST,483,0,,Christianity In North America,4,9:20 AM - 10:30 AM,M W F,Riddle\ Jonathan D.,,
HNGR,484,0,,Global Christian Perspective,4,TBA,,Yoder\ Laura S.,,
MATH,485,0,,Number Theory,4,11:35 AM - 12:45 PM,M W F,Lovett\ Stephen T.,,
BITH,488,0,,Karl Barth,4,9:20 AM - 10:30 AM,M W F,Johnson\ Keith L.,,
URBN,490,0,,Internship-Pending,4 TO 8,TBA,,Anderson\ Jordan,,
ART,492,0,,Comm Art Capstone/Internship,3,TBA,,Brown\ Kristen L.,,
MATH,493,0,,Mentored Research Seminar,4,8:30 AM - 10:30 AM,R,Delzell\ Darcie A.,,
MUCS,494,0,A,Senior Capstone,2,11:35 AM - 12:45 PM,M W F,Kastner\ Kathleen S.,96,
PHIL,494,0,,Revisiting the Good Life,2,7:00 PM - 8:50 PM,M,Wood\ Adam N.,,
IR,494,0,A,Senior Seminar,2,2:15 PM - 3:25 PM,M W F,McKoy\ Michael K.,,
COMM,494,0,B,Senior Seminar,2,2:15 PM - 3:25 PM,M W F,Chase\ Kenneth R.,,
ENGL,494,0,,Senior Seminar,4,9:20 AM - 10:30 AM,M W F,Bieber Lake\ Christina,,
PSYC,494,0,,Personality Psychology,4,2:15 PM - 3:25 PM,M W F,Fort\ Christin J.,,
BIOL,494,0,,The Integrated Biologist,2,1:15 PM - 3:05 PM,R,Page\ L. Kristen,,
BITH,494,0,,Senior Seminar,2,1:15 PM - 3:05 PM,R,Peeler & Lee,,
CHEM,494,0,,Chemistry In Context,2,8:30 AM - 10:20 AM,R,Eggimann\ Becky L.,,
GEOL,494,0,,Seminar Seminar Geology,2,1:15 PM - 3:05 PM,R,Moshier\ Stephen O.,,
PSCI,494,0,A,Senior Seminar,2,1:15 PM - 3:05 PM,T R,McGraw\ Bryan T.,,
ENGW,494,0,,Senior Seminar in Writing,4,11:15 AM - 1:05 PM,T R,Mazzarella\ Nicole,,
SOC,494,0,,Senior Capstone,4,1:15 PM - 3:05 PM,T R,Kim\ Henry H.,,
SPAN,494,0,,Senior Seminar,4,8:30 AM - 10:20 AM,T R,Kepner\ Christine G.,,
CHEM,495,0,,Independent Research,2 OR 4,TBA,,STAFF,95,
MUCS,495,0,,Directed Study,1 TO 4,TBA,,Zimmerman\ Edward,96,
BIOL,495,0,,Biological Research,2 OR 4,TBA,,STAFF,100,
AHS,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
ANTH,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
ARCH,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
ART,495,0,,Independent Projects,1 TO 4,TBA,,STAFF,,
B EC,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
C E,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
COMM,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
ECON,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
EDUC,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
ENGL,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
ENGW,495,0,,Writing Projects,1 TO 4,TBA,,STAFF,,
ENVR,495,0,,Environmental Sci Research,2 TO 4,TBA,,STAFF,,
FREN,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
GEOL,495,0,,Problems In Geology,1 TO 4,TBA,,STAFF,,
GERM,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
GREK,495,0,,Independent Reading,1 TO 4,TBA,,STAFF,,
HEBR,495,0,,Independent Reading/Rsrch,1 TO 4,TBA,,STAFF,,
HIST,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
HNGR,495,0,,Independent Study,2 TO 4,TBA,,STAFF,,
IDS,495,0,,Independent Study,2,TBA,,STAFF,,
IR,495,0,,Independent Study,2 TO 4,TBA,,STAFF,,
LATN,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
MUMS,495,0,,Directed Study,1 TO 4,TBA,,Zimmerman\ Edward,,
MUTC,495,0,,Directed Study,1 TO 4,TBA,,Zimmerman\ Edward,,
PHIL,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
PSCI,495,0,,Independent Study,2 TO 4,TBA,,STAFF,,
PSYC,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
SPAN,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
URBN,495,0,,Independent Study,2 TO 4,TBA,,STAFF,,
MUMS,496,0,,Internship,2 TO 4,TBA,,Bauer\ Elizabeth A.,180,
AHS,496,0,,Internship,4 TO 8,TBA,,Hunt\ Brian E.,,
ANTH,496,0,,Internship,4 OR 8,TBA,,STAFF,,
ART,496,0,,Internship,2 TO 8,TBA,,Botts\ Jeremy G.,,
B EC,496,0,,Internship,1 TO 4,TBA,,Bretsen\ Stephen N.,,
BIOL,496,0,,Biology Internship,2 OR 4,TBA,,STAFF,,
BITH,496,0,,Internship,1 TO 4,TBA,,STAFF,,
C E,496,0,,Internship,0,TBA,,Haase\ Daniel T.,,
CHEM,496,0,,Internship,1 TO 4,TBA,,STAFF,,
COMM,496,0,,Internship,2 TO 4,TBA,,STAFF,,
EDUC,496,0,,Student Teaching,9,TBA,,Lederhouse\ Jillian N.,,
ENGL,496,0,,Literature Internship,1 TO 4,TBA,,STAFF,,
ENGW,496,0,,Writing Internship,1 TO 4,TBA,,STAFF,,
ENVR,496,0,,Internship,2 TO 4,TBA,,Keil\ Charles B.,,
FREN,496,0,,Internship,2 OR 4,TBA,,STAFF,,
GEOL,496,0,,Internship,1 TO 4,TBA,,STAFF,,
GERM,496,0,,Internship,2 OR 4,TBA,,STAFF,,
HIST,496,0,,Internship,4,TBA,,STAFF,,
HNGR,496,0,,Intrnshp In Devlpmnt,4 TO 8,TBA,,Huff\ James G.,,
IDS,496,0,,Internship,4 OR 8,TBA,,STAFF,,
IR,496,0,,Internship,4,TBA,,McGraw\ Bryan T.,,
PACS,496,0,,Internship,4,TBA,,McGraw\ Bryan T.,,
PHIL,496,0,,Internship,2 OR 4,TBA,,STAFF,,
PSCI,496,0,,Internship,4,TBA,,McGraw\ Bryan T.,,
