Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
ECON,212,2,A,Principles of Macroeconomics,2,11:35 AM - 12:45 PM,M W F,Hill\ Enoch S.,0,NONE
ECON,212,3,B,Principles of Macroeconomics,2,9:20 AM - 10:30 AM,M W F,Hill\ Enoch S.,0,NONE
CHEM,212,0,NONE,Everyday Chemistry,4,2:15 PM - 3:25 PM,M W F,Umesiri\ Francis E.,0,SP
MUIP,212,0,NONE,Private Lessons: Euphonium,2 TO 4,TBA,BLANK,Saylor\ L. Jonathan,770,NONE
MUEP,213,0,NONE,Women's Chorale,1,4:30 PM - 6:00 PM,M W,Hopper\ Mary,180,NONE
BITH,213,4,NONE,NT Lit & Interpretation,4,12:55 PM - 2:05 PM,M W F,Vlachos\ Chris A.,0,SHAR
BITH,213,6,NONE,NT Lit & Interpretation,4,9:20 AM - 10:30 AM,M W F,Sosa Siliezar\ Carlos,0,SHAR
BITH,213,7,NONE,NT Lit & Interpretation,4,6:30 PM - 10:00 PM,T,LeMahieu\ Nathan,0,SHAR
BITH,213,1,NONE,NT Lit & Interpretation,4,8:30 AM - 10:20 AM,T R,Ehorn\ Seth M.,0,SHAR
BITH,213,3,NONE,NT Lit & Interpretation,4,11:15 AM - 1:05 PM,T R,Ehorn\ Seth M.,0,SHAR
BITH,213,5,NONE,NT Lit & Interpretation,4,1:15 PM - 3:05 PM,T R,Brendsel\ Daniel J.,0,SHAR
ENGW,213,1,NONE,Creative Writing,4,1:15 PM - 3:05 PM,T R,Mazzarella\ Nicole,0,NONE
MUIP,213,0,NONE,Private Lessons: Tuba,2 TO 4,TBA,BLANK,Saylor & Harrison,770,NONE
MUEP,214,0,NONE,Men's Glee Club,1,4:30 PM - 6:00 PM,T R,Hopper\ Mary,180,NONE
MUIP,214,0,NONE,Private Lessons: Flute,2 TO 4,TBA,BLANK,Saylor & Brown,770,NONE
ENGL,215,0,NONE,Classical/Early British Lit,4,9:20 AM - 10:30 AM,M W F,Weber\ Benjamin D.,0,LE
MUEP,215,0,NONE,Concert Choir,1,2:15 PM - 3:45 PM,M W F,Trotter\ John W.,180,NONE
MUIP,215,0,NONE,Private Lessons: Clarinet,2 TO 4,TBA,BLANK,Saylor & O'Riordan,770,NONE
MUEP,216,0,NONE,Symphonic Band,1,3:45 PM - 5:15 PM,M W,Sommerville\ Daniel,180,NONE
MUIP,216,0,NONE,Private Lessons: Oboe,2 TO 4,TBA,BLANK,Saylor & Stevenson,770,NONE
C E,216,0,NONE,Discipleship Practicum,1,TBA,BLANK,Haase\ Daniel T.,0,NONE
MUEP,217,1,NONE,Symphony Orchestra (Strings),1,4:45 PM - 6:15 PM,M,Sommerville\ Daniel,180,NONE
MUIP,217,0,NONE,Private Lessons: Bassoon,2 TO 4,TBA,BLANK,Saylor\ L. Jonathan,770,NONE
MUEP,217,2,NONE,Symphony Orch (Winds/Percus),,,BLANK,,0,NONE
MUEP,218,0,NONE,Jazz Ensemble,,7:00 PM - 8:20 PM,T R,Ernst\ Kathryn A.,180,NONE
MUIP,218,0,NONE,Private Lessons: Saxophone,2 TO 4,TBA,BLANK,Saylor & Black,770,NONE
MUEP,219,1,NONE,Recital & Concert Attendance,0,1:15 PM - 2:05 PM,R,Zimmerman\ Edward,0,NONE
